loss_variant,description,subject,role,roi,mode,best_value,beta_s,beta_c,norm_raw,norm_grid
l_topk_V1,Top-K Jaccard distance (V1),sub-08,CVD,V1,argmin,0.5,0.0,-60.0,60.0,1.0
l_topk_V1,Top-K Jaccard distance (V1),sub-09,CVD,V1,argmin,0.5,0.0,-60.0,60.0,1.0
cycle12_cross_roi,α·l_topk(V4) + β·l_rank(V1) + 0.2·Tikh (α=β=1),sub-01,HC,V4+V1,argmin,,48.0,48.0,67.88,1.0
cycle12_cross_roi,α·l_topk(V4) + β·l_rank(V1) + 0.2·Tikh (α=β=1),sub-02,HC,V4+V1,argmin,,4.0,0.0,4.0,0.05
cycle12_cross_roi,α·l_topk(V4) + β·l_rank(V1) + 0.2·Tikh (α=β=1),sub-03,HC,V4+V1,argmin,,16.0,10.0,18.87,0.2603
cycle12_cross_roi,α·l_topk(V4) + β·l_rank(V1) + 0.2·Tikh (α=β=1),sub-04,HC,V4+V1,argmin,,18.0,2.0,18.11,0.2275
cycle12_cross_roi,α·l_topk(V4) + β·l_rank(V1) + 0.2·Tikh (α=β=1),sub-05,HC,V4+V1,argmin,,56.0,-16.0,58.24,0.7491
cycle12_cross_roi,α·l_topk(V4) + β·l_rank(V1) + 0.2·Tikh (α=β=1),sub-06,HC,V4+V1,argmin,,0.0,0.0,0.0,0.0
cycle12_cross_roi,α·l_topk(V4) + β·l_rank(V1) + 0.2·Tikh (α=β=1),sub-08,CVD,V4+V1,argmin,,68.0,-38.0,77.9,1.06
cycle12_cross_roi,α·l_topk(V4) + β·l_rank(V1) + 0.2·Tikh (α=β=1),sub-09,CVD,V4+V1,argmin,,30.0,26.0,39.7,0.5731
cycle15_opt2_v4mwj_v1lrank,2·mw_jaccard(V4) + 1·l_rank(V1) + 0.2·Tikh,sub-01,HC,V4,argmin,,48.0,48.0,67.88,1.0
cycle15_opt2_v4mwj_v1lrank,2·mw_jaccard(V4) + 1·l_rank(V1) + 0.2·Tikh,sub-02,HC,V4,argmin,,4.0,0.0,4.0,0.05
cycle15_opt2_v4mwj_v1lrank,2·mw_jaccard(V4) + 1·l_rank(V1) + 0.2·Tikh,sub-03,HC,V4,argmin,,16.0,10.0,18.87,0.2603
cycle15_opt2_v4mwj_v1lrank,2·mw_jaccard(V4) + 1·l_rank(V1) + 0.2·Tikh,sub-04,HC,V4,argmin,,62.0,-46.0,77.2,1.0901
cycle15_opt2_v4mwj_v1lrank,2·mw_jaccard(V4) + 1·l_rank(V1) + 0.2·Tikh,sub-05,HC,V4,argmin,,56.0,-16.0,58.24,0.7491
cycle15_opt2_v4mwj_v1lrank,2·mw_jaccard(V4) + 1·l_rank(V1) + 0.2·Tikh,sub-06,HC,V4,argmin,,0.0,0.0,0.0,0.0
cycle15_opt2_v4mwj_v1lrank,2·mw_jaccard(V4) + 1·l_rank(V1) + 0.2·Tikh,sub-08,CVD,V4,argmin,,68.0,-38.0,77.9,1.06
cycle15_opt2_v4mwj_v1lrank,2·mw_jaccard(V4) + 1·l_rank(V1) + 0.2·Tikh,sub-09,CVD,V4,argmin,,44.0,54.0,69.66,1.0548
cycle15_opt3_v4mwj_v1mwj,1·mw_jaccard(V4) + 1·mw_jaccard(V1) + 0.2·Tikh,sub-01,HC,V4,argmin,,54.0,28.0,60.83,0.8206
cycle15_opt3_v4mwj_v1mwj,1·mw_jaccard(V4) + 1·mw_jaccard(V1) + 0.2·Tikh,sub-02,HC,V4,argmin,,4.0,0.0,4.0,0.05
cycle15_opt3_v4mwj_v1mwj,1·mw_jaccard(V4) + 1·mw_jaccard(V1) + 0.2·Tikh,sub-03,HC,V4,argmin,,0.0,0.0,0.0,0.0
cycle15_opt3_v4mwj_v1mwj,1·mw_jaccard(V4) + 1·mw_jaccard(V1) + 0.2·Tikh,sub-04,HC,V4,argmin,,64.0,-36.0,73.43,1.0
cycle15_opt3_v4mwj_v1mwj,1·mw_jaccard(V4) + 1·mw_jaccard(V1) + 0.2·Tikh,sub-05,HC,V4,argmin,,40.0,10.0,41.23,0.527
cycle15_opt3_v4mwj_v1mwj,1·mw_jaccard(V4) + 1·mw_jaccard(V1) + 0.2·Tikh,sub-06,HC,V4,argmin,,0.0,0.0,0.0,0.0
cycle15_opt3_v4mwj_v1mwj,1·mw_jaccard(V4) + 1·mw_jaccard(V1) + 0.2·Tikh,sub-08,CVD,V4,argmin,,58.0,-28.0,64.4,0.8622
cycle15_opt3_v4mwj_v1mwj,1·mw_jaccard(V4) + 1·mw_jaccard(V1) + 0.2·Tikh,sub-09,CVD,V4,argmin,,0.0,0.0,0.0,0.0
cycle15_opt4_v4mwj_v4spear,1·mw_jaccard(V4) + 1·(1-spearman_r)(V4) + 0.2·Tikh,sub-01,HC,V4,argmin,,0.0,0.0,0.0,0.0
cycle15_opt4_v4mwj_v4spear,1·mw_jaccard(V4) + 1·(1-spearman_r)(V4) + 0.2·Tikh,sub-02,HC,V4,argmin,,0.0,0.0,0.0,0.0
cycle15_opt4_v4mwj_v4spear,1·mw_jaccard(V4) + 1·(1-spearman_r)(V4) + 0.2·Tikh,sub-03,HC,V4,argmin,,6.0,-6.0,8.49,0.125
cycle15_opt4_v4mwj_v4spear,1·mw_jaccard(V4) + 1·(1-spearman_r)(V4) + 0.2·Tikh,sub-04,HC,V4,argmin,,72.0,-42.0,83.35,1.1402
cycle15_opt4_v4mwj_v4spear,1·mw_jaccard(V4) + 1·(1-spearman_r)(V4) + 0.2·Tikh,sub-05,HC,V4,argmin,,70.0,8.0,70.46,0.8851
cycle15_opt4_v4mwj_v4spear,1·mw_jaccard(V4) + 1·(1-spearman_r)(V4) + 0.2·Tikh,sub-06,HC,V4,argmin,,0.0,-52.0,52.0,0.8667
cycle15_opt4_v4mwj_v4spear,1·mw_jaccard(V4) + 1·(1-spearman_r)(V4) + 0.2·Tikh,sub-08,CVD,V4,argmin,,70.0,-52.0,87.2,1.2316
cycle15_opt4_v4mwj_v4spear,1·mw_jaccard(V4) + 1·(1-spearman_r)(V4) + 0.2·Tikh,sub-09,CVD,V4,argmin,,24.0,32.0,40.0,0.6119
cycle14_cross_roi_rdm,α·l_topk(V4) + β·(1-cos(ΔRDM_V1)) + 0.2·Tikh (α=β=1),sub-01,HC,V4+V1,argmin,,,,,
cycle14_cross_roi_rdm,α·l_topk(V4) + β·(1-cos(ΔRDM_V1)) + 0.2·Tikh (α=β=1),sub-02,HC,V4+V1,argmin,,,,,
cycle14_cross_roi_rdm,α·l_topk(V4) + β·(1-cos(ΔRDM_V1)) + 0.2·Tikh (α=β=1),sub-03,HC,V4+V1,argmin,,,,,
cycle14_cross_roi_rdm,α·l_topk(V4) + β·(1-cos(ΔRDM_V1)) + 0.2·Tikh (α=β=1),sub-04,HC,V4+V1,argmin,,,,,
cycle14_cross_roi_rdm,α·l_topk(V4) + β·(1-cos(ΔRDM_V1)) + 0.2·Tikh (α=β=1),sub-05,HC,V4+V1,argmin,,,,,
cycle14_cross_roi_rdm,α·l_topk(V4) + β·(1-cos(ΔRDM_V1)) + 0.2·Tikh (α=β=1),sub-06,HC,V4+V1,argmin,,,,,
cycle14_cross_roi_rdm,α·l_topk(V4) + β·(1-cos(ΔRDM_V1)) + 0.2·Tikh (α=β=1),sub-08,CVD,V4+V1,argmin,,58.0,-36.0,68.26,0.9411
cycle14_cross_roi_rdm,α·l_topk(V4) + β·(1-cos(ΔRDM_V1)) + 0.2·Tikh (α=β=1),sub-09,CVD,V4+V1,argmin,,32.0,22.0,38.83,0.5426
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-08,CVD,V4,argmin (weighted),0.881,38.0,-14.0,40.5,0.5292
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-09,CVD,V4,argmin (weighted),0.69,6.0,-22.0,22.8,0.3743
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-08,CVD,V1,argmin (weighted),,50.0,-14.0,51.92,0.6671
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-09,CVD,V1,argmin (weighted),,23.0,3.0,23.19,0.2918
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-01,HC,V1,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-01,HC,V4,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-02,HC,V1,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-02,HC,V4,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-03,HC,V1,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-03,HC,V4,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-04,HC,V1,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-04,HC,V4,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-05,HC,V1,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-05,HC,V4,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-06,HC,V1,argmin (weighted),,,,,
phase_a_L_LOCO_canonical,α·L_vuln + β·L_rank + δ·L_rdm + ε·L_smooth (canonical phase_a),sub-06,HC,V4,argmin (weighted),,,,,
