subject,run,n_volumes,mean_fd,median_fd,max_fd,std_fd,fd_gt_0.5,fd_gt_0.5_pct,fd_gt_0.9,fd_gt_0.9_pct,mean_trans,max_trans,mean_rot,max_rot
03,3,288,0.2849223537638889,0.26246729999999996,0.8588488,0.14428667276698354,24,8.333333333333332,0,0.0,0.14596607236921294,0.577772,0.10237172856523581,0.3740274216191965
03,4,288,0.32544788188611107,0.30236902499999996,1.17902035,0.1697245985180999,38,13.194444444444445,3,1.0416666666666665,0.18586470748842596,1.09779,0.06703272733052545,0.3379562906689404
03,5,292,0.30325891783561637,0.2628342999999999,1.1519490035,0.1888211335338203,35,11.986301369863012,5,1.7123287671232876,0.1480774306221461,0.455893,0.10896848966972329,0.4596290350851268
03,6,288,0.27090848413194446,0.2438767399999999,0.9159454,0.13630544491097168,16,5.555555555555555,1,0.3472222222222222,0.17479948587962965,0.680361,0.07216260468217219,0.3826601767184326
04,1,292,0.23490486041438355,0.18724185999999998,0.8828071,0.1549318096256337,16,5.47945205479452,0,0.0,0.17617549884132422,0.640768,0.06837645389278102,0.2553185878772218
04,2,288,0.2273197132951389,0.1817047,0.87969065,0.1481899403263387,13,4.513888888888888,0,0.0,0.12121930372685186,0.426168,0.05647393748789173,0.2359302690477898
04,3,292,0.26740141277397256,0.21282828999999995,0.8614824849999998,0.17644749523760742,32,10.95890410958904,0,0.0,0.14690538165525113,0.365563,0.06592787340201721,0.3739099652711947
04,4,288,0.2739715880770833,0.23647429999999997,0.7741979,0.16464697182338442,30,10.416666666666668,0,0.0,0.10794546933055556,0.412352,0.10123070756375833,0.541287553004967
04,5,288,0.3332088259861111,0.294405185,0.97925805,0.21702045000954925,60,20.833333333333336,4,1.3888888888888888,0.13669361707175928,0.539257,0.05642475437290965,0.3068624440849858
04,6,288,0.3150984601736111,0.2810187,1.2687661,0.198414214945357,48,16.666666666666664,3,1.0416666666666665,0.14223108636574075,1.22023,0.0660693205503822,0.6864664639241906
05,1,292,0.30679692801369857,0.2600395999999999,0.9579298,0.15551823778859672,36,12.32876712328767,1,0.3424657534246575,0.1925483278196347,0.533613,0.11927781196847896,0.4920011505100184
05,2,288,0.39484993326388884,0.32169967499999996,1.22999154,0.23622042637122712,80,27.77777777777778,12,4.166666666666666,0.1598780612962963,0.327053,0.06691016235076591,0.3776445041798574
05,3,292,0.44638857158561646,0.3758721024999999,1.1845265500000002,0.26248839643162464,112,38.35616438356164,18,6.164383561643835,0.15045973493835618,0.308618,0.08147240944617713,0.388241358600802
05,4,288,0.3757310936493055,0.36341634999999994,1.0032779,0.19822816599208898,73,25.34722222222222,4,1.3888888888888888,0.13752243488310187,0.258206,0.05795276917713846,0.2674767522898978
05,5,288,0.40923977205902773,0.37921320000000003,1.0764679,0.19256679853591097,75,26.041666666666668,3,1.0416666666666665,0.14585794480324077,0.383083,0.09048180169266658,0.2816081833490045
05,6,288,0.33504050667361107,0.2711536499999999,1.25183035,0.2102393310175366,51,17.708333333333336,5,1.7361111111111112,0.15277958259432872,0.468993,0.11766786975750869,0.3406503382216455
06,1,292,0.2693502903393835,0.2294972,0.89341092,0.14962203660551998,26,8.904109589041095,0,0.0,0.18081680878995432,0.471257,0.09223798113378383,0.5285243451606327
06,2,288,0.34389873589930553,0.280624075,1.1311128,0.1807664168262527,59,20.48611111111111,2,0.6944444444444444,0.14051218420023148,0.503713,0.0901033167820832,0.3551816938217535
06,3,292,0.3036907963784246,0.25838578,0.94279515,0.1742008842978135,34,11.643835616438356,2,0.684931506849315,0.1446236328652968,0.438133,0.10504461976005709,0.4006264143003499
06,4,288,0.23535221640902776,0.1969425,0.7817006350000002,0.13343269661077592,19,6.597222222222222,0,0.0,0.19399290001921296,0.671527,0.09747428365609527,0.3885536205991483
06,5,288,0.30873816312499996,0.25912500000000005,1.0825012500000002,0.17117276059801684,38,13.194444444444445,2,0.6944444444444444,0.4279003503587962,1.31565,0.2543826949072,0.8239820643335395
06,6,288,0.35309677612847223,0.32638314999999996,1.0275362,0.1995886733269558,70,24.305555555555554,4,1.3888888888888888,0.15271962208449072,0.398681,0.12972449584374,0.4519903617604427
07,1,292,0.31503450423184925,0.26087905,0.98869585,0.1857267721784381,53,18.15068493150685,3,1.0273972602739725,0.14527428149543378,0.404294,0.08042461080338721,0.3125421747081177
07,2,288,0.3489836105451389,0.32455377499999993,1.05766185,0.19615421102704442,57,19.791666666666664,6,2.083333333333333,0.12120200272453703,0.256486,0.08968065520344111,0.3492704882493888
07,3,292,0.3246891094657534,0.31024157499999994,1.0099583,0.18135094913873984,49,16.78082191780822,1,0.3424657534246575,0.13173281961643837,0.483382,0.0882817834196527,0.4149887473508942
07,4,288,0.3255975985277778,0.26737642500000003,0.8584157000000001,0.19796485686677104,59,20.48611111111111,0,0.0,0.15737251330671298,0.517535,0.12845421451591096,0.4692719147771787
07,5,288,0.26773543208333334,0.2272551649999999,0.8336462,0.15298762379958442,23,7.986111111111111,0,0.0,0.1535346680324074,0.501948,0.07098054647078801,0.3881829169056986
07,6,288,0.29065227323263887,0.234915495,0.94653115,0.1831700559353291,31,10.76388888888889,3,1.0416666666666665,0.14337167165046297,0.371683,0.08336847691816685,0.3022466960874118
08,1,288,0.3197227122152777,0.24883261499999992,1.72626053,0.2187343910863407,54,18.75,5,1.7361111111111112,0.1627247797199074,0.739864,0.10644690454788193,0.4769827807840492
08,2,288,0.3348010503159722,0.27384825,1.5741671500000003,0.235725353611811,50,17.36111111111111,10,3.4722222222222223,0.22817527765972226,1.05519,0.14201959737834322,0.5546483558296227
08,3,288,0.4022538590277778,0.26544345,1.92410465,0.33461727842914063,88,30.555555555555557,25,8.680555555555555,0.18101651939467592,0.691558,0.26247479151069114,1.1262688674666106
08,4,288,0.4322792652916666,0.2829178,1.8172799,0.3360331577110369,96,33.33333333333333,28,9.722222222222223,0.21008133785879632,1.00659,0.1320282298710563,0.7377748344781558
08,5,288,0.490700009375,0.25920125000000005,4.8078915,0.5719503437313374,83,28.819444444444443,45,15.625,0.36615994118055556,1.44515,0.20934451465596485,1.742805832495084
08,6,288,0.31415492298611114,0.2235437449999999,1.9009705,0.27027554937611936,47,16.319444444444446,14,4.861111111111112,0.2724553770601852,1.14064,0.19942281805587148,0.7583153714335958
09,1,292,0.24158547643150685,0.18861358749999996,1.06351255,0.17829935039449546,20,6.8493150684931505,3,1.0273972602739725,0.16636721279680364,0.383643,0.06916110888884365,0.2691234329931039
09,2,288,0.20963017193402778,0.17888586174999999,1.072410055,0.1441974178864811,17,5.902777777777778,1,0.3472222222222222,0.18098380625,0.368687,0.055067557059204374,0.1719933357313461
