subj_id,group,session,run,condition,filter,trial,staircase_id,pair_name,level,response,correct,rt,reversal_count
CDX009,1,2,1,window,no_filter,156,yellow-green_sc0,yellow-green,0.05,different,1,0.4839,4
CDX009,1,2,1,window,no_filter,157,cyan-magenta_sc1,cyan-magenta,0.21,different,1,0.6507,2
CDX009,1,2,1,window,no_filter,158,blue-purple_sc0,blue-purple,0.14,different,1,0.4466,2
CDX009,1,2,1,window,no_filter,159,red-cyan_sc0,red-cyan,0.06,different,1,0.4462,2
CDX009,1,2,1,window,no_filter,160,orange-yellow_sc0,orange-yellow,0.17,different,1,0.8791,4
CDX009,1,2,1,window,no_filter,161,orange-yellow_sc0,orange-yellow,0.14,different,1,1.3623,4
CDX009,1,2,1,window,no_filter,162,yellow-green_sc0,yellow-green,0.02,different,1,0.8151,4
CDX009,1,2,1,window,no_filter,163,red-orange_sc0,red-orange,0.0,different,1,0.6824,0
CDX009,1,2,1,window,no_filter,164,yellow-green_sc0,yellow-green,0.0,different,1,0.6592,4
CDX009,1,2,1,window,no_filter,165,green-blue_sc1,green-blue,0.29,different,1,0.6713,4
CDX009,1,2,1,window,no_filter,166,blue-purple_sc1,blue-purple,0.12,different,1,0.626,4
CDX009,1,2,1,window,no_filter,167,orange-yellow_sc0,orange-yellow,0.17,same,0,0.5933,5
CDX009,1,2,1,window,no_filter,168,blue-purple_sc1,blue-purple,0.09,different,1,0.6993,4
CDX009,1,2,1,window,no_filter,169,yellow-green_sc1,yellow-green,0.08,different,1,0.5872,2
CDX009,1,2,1,window,no_filter,170,blue-purple_sc0,blue-purple,0.17,same,0,0.8792,3
CDX009,1,2,1,window,no_filter,171,blue-purple_sc1,blue-purple,0.12,same,0,0.6068,5
CDX009,1,2,1,window,no_filter,172,red-cyan_sc0,red-cyan,0.03,different,1,0.7738,2
CDX009,1,2,1,window,no_filter,173,blue-purple_sc1,blue-purple,0.09,different,1,0.5757,6
CDX009,1,2,1,window,no_filter,174,cyan-magenta_sc0,cyan-magenta,0.14,different,1,0.9688,4
CDX009,1,2,1,window,no_filter,175,cyan-magenta_sc0,cyan-magenta,0.17,same,0,1.3169,5
CDX009,1,2,1,window,no_filter,176,green-blue_sc1,green-blue,0.26,different,1,0.741,4
CDX009,1,2,1,window,no_filter,177,cyan-magenta_sc0,cyan-magenta,0.14,different,1,0.6508,6
CDX009,1,2,1,window,no_filter,178,blue-purple_sc0,blue-purple,0.14,different,1,0.6565,4
CDX009,1,2,1,window,no_filter,179,cyan-magenta_sc1,cyan-magenta,0.18,different,1,0.5361,2
CDX009,1,2,1,window,no_filter,180,green-blue_sc1,green-blue,0.23,different,1,0.62,4
CDX009,1,2,1,window,no_filter,181,red-orange_sc0,red-orange,0.0,different,1,0.6677,0
CDX009,1,2,1,window,no_filter,182,yellow-green_sc0,yellow-green,0.0,different,1,0.9096,4
CDX009,1,2,1,window,no_filter,183,blue-purple_sc0,blue-purple,0.17,same,0,1.2413,5
CDX009,1,2,1,window,no_filter,184,blue-purple_sc1,blue-purple,0.12,same,0,1.0407,7
CDX009,1,2,1,window,no_filter,185,red-orange_sc0,red-orange,0.0,different,1,0.8625,0
CDX009,1,2,1,window,no_filter,186,orange-yellow_sc1,orange-yellow,0.26,different,1,0.8611,4
CDX009,1,2,1,window,no_filter,187,cyan-magenta_sc0,cyan-magenta,0.11,different,1,0.7062,6
CDX009,1,2,1,window,no_filter,188,blue-purple_sc1,blue-purple,0.09,different,1,1.1683,8
CDX009,1,2,1,window,no_filter,189,cyan-magenta_sc0,cyan-magenta,0.14,same,0,0.7297,7
CDX009,1,2,1,window,no_filter,190,red-orange_sc1,red-orange,0.14,different,1,0.6616,8
CDX009,1,2,1,window,no_filter,191,yellow-green_sc1,yellow-green,0.05,different,1,0.6701,2
CDX009,1,2,1,window,no_filter,192,yellow-green_sc1,yellow-green,0.02,different,1,0.6526,2
CDX009,1,2,1,window,no_filter,193,blue-purple_sc1,blue-purple,0.12,same,0,1.112,9
CDX009,1,2,1,window,no_filter,194,red-orange_sc0,red-orange,0.15,same,0,0.663,1
CDX009,1,2,1,window,no_filter,195,red-cyan_sc1,red-cyan,0.06,same,0,0.6089,3
CDX009,1,2,1,window,no_filter,196,yellow-purple_sc0,yellow-purple,0.03,same,0,0.9092,5
CDX009,1,2,1,window,no_filter,197,red-cyan_sc0,red-cyan,0.06,same,0,0.7265,3
CDX009,1,2,1,window,no_filter,198,orange-yellow_sc0,orange-yellow,0.2,same,0,0.6911,5
CDX009,1,2,1,window,no_filter,199,red-orange_sc0,red-orange,0.12,different,1,0.8431,2
CDX009,1,2,1,window,no_filter,200,green-blue_sc1,green-blue,0.26,same,0,0.8015,5
CDX009,1,2,1,window,no_filter,201,yellow-purple_sc0,yellow-purple,0.0,different,1,0.6434,6
CDX009,1,2,1,window,no_filter,202,green-blue_sc1,green-blue,0.23,different,1,1.2028,6
CDX009,1,2,1,window,no_filter,203,yellow-green_sc1,yellow-green,0.05,same,0,0.9669,3
CDX009,1,2,1,window,no_filter,204,yellow-purple_sc1,yellow-purple,0.12,different,1,0.5683,2
CDX009,1,2,1,window,no_filter,205,orange-yellow_sc0,orange-yellow,0.17,different,1,0.7428,6
CDX009,1,2,1,window,no_filter,206,yellow-green_sc0,yellow-green,0.03,same,0,0.6833,5
CDX009,1,2,1,window,no_filter,207,yellow-green_sc1,yellow-green,0.08,same,0,0.6684,3
CDX009,1,2,1,window,no_filter,208,red-cyan_sc1,red-cyan,0.03,different,1,0.705,4
CDX009,1,2,1,window,no_filter,209,red-orange_sc1,red-orange,0.11,different,1,1.0276,8
CDX009,1,2,1,window,no_filter,210,yellow-purple_sc0,yellow-purple,0.03,same,0,0.6555,7
CDX009,1,2,1,window,no_filter,211,green-blue_sc0,green-blue,0.32,different,1,0.5788,4
CDX009,1,2,1,window,no_filter,212,blue-purple_sc0,blue-purple,0.14,different,1,0.6247,6
CDX009,1,2,1,window,no_filter,213,cyan-magenta_sc0,cyan-magenta,0.17,same,0,0.6278,7
CDX009,1,2,1,window,no_filter,214,blue-purple_sc1,blue-purple,0.09,different,1,0.5452,10
CDX009,1,2,1,window,no_filter,215,orange-yellow_sc1,orange-yellow,0.23,different,1,0.6914,4
CDX009,1,2,1,window,no_filter,216,green-blue_sc1,green-blue,0.2,different,1,0.5507,6
CDX009,1,2,1,window,no_filter,217,cyan-magenta_sc0,cyan-magenta,0.14,different,1,0.5639,8
CDX009,1,2,1,window,no_filter,218,green-blue_sc0,green-blue,0.29,different,1,0.5711,4
CDX009,1,2,1,window,no_filter,219,yellow-green_sc1,yellow-green,0.11,same,0,0.701,3
CDX009,1,2,1,window,no_filter,220,green-blue_sc0,green-blue,0.26,different,1,0.5305,4
CDX009,1,2,1,window,no_filter,221,yellow-purple_sc0,yellow-purple,0.0,different,1,0.5127,8
CDX009,1,2,1,window,no_filter,222,red-orange_sc1,red-orange,0.08,different,1,0.5425,8
